,distance,sentiment
abandon,0.17920353982300885,-0.4404
abandoned,0.13716814159292035,-0.4588
abandonment,0.13108407079646017,-0.5267
abandons,0.20851769911504425,-0.3182
abase,0.19469026548672566,-0.5423
abased,0.2013274336283186,-0.5423
abasement,0.20907079646017698,-0.5267
abash,0.1963495575221239,-0.296
abashed,0.19856194690265486,-0.296
abbreviate,0.31305309734513276,-0.2732
abbreviated,0.31305309734513276,-0.2732
abbreviates,0.31305309734513276,-0.2732
abbreviating,0.31305309734513276,-0.2732
abducted,0.3047566371681416,-0.5106
abduction,0.2704646017699115,-0.5859
abductions,0.2704646017699115,-0.4588
abhor,0.2245575221238938,-0.4588
abhorred,0.2754424778761062,-0.5267
abhorrence,0.2577433628318584,-0.5719
abhorrent,0.28595132743362833,-0.6249
abhors,0.30586283185840707,-0.5994
abide,0.0956858407079646,0.4019
abided,0.10232300884955753,0.4019
abides,0.17699115044247787,0.4019
abiding,0.11891592920353983,0.4019
abilities,0.19469026548672566,0.25
ability,0.3711283185840708,0.3182
abject,0.20077433628318583,-0.2732
abjectly,0.314712389380531,-0.1779
ablaze,0.35011061946902655,-0.34
able,0.10564159292035398,0.3818
abler,0.19579646017699115,0.3818
ablest,0.3047566371681416,0.3818
abnormalities,0.24391592920353983,-0.34
abnormality,0.24391592920353983,-0.34
aboard,0.24280973451327434,0.0258
abode,0.14878318584070796,0.0258
abodes,0.23008849557522124,0.0258
abominable,0.19192477876106195,-0.4588
abominably,0.19192477876106195,-0.5574
abominate,0.24336283185840707,-0.4588
abominated,0.24336283185840707,-0.4588
abomination,0.23008849557522124,-0.5719
abominations,0.23008849557522124,-0.5719
abortive,0.43418141592920356,-0.3612
abrasive,0.37610619469026546,-0.4404
abridge,0.1963495575221239,-0.2732
abridged,0.18418141592920353,-0.2732
abridging,0.13993362831858408,-0.2732
abruptly,0.5951327433628318,-0.6486
absent,0.33573008849557523,-0.296
absentee,0.31305309734513276,-0.2732
absentees,0.31305309734513276,-0.2023
absolutely,0.39988938053097345,0.6369
absolutism,0.4336283185840708,-0.5719
absolve,0.40099557522123896,0.296
absolved,0.38882743362831856,0.3612
absolves,0.4303097345132743,0.3182
absolving,0.34457964601769914,0.3818
absorb,0.35564159292035397,-0.4404
absorbed,0.3379424778761062,-0.4404
absorbing,0.2936946902654867,-0.4404
absorbs,0.4120575221238938,-0.4404
absurd,0.43307522123893805,-0.5574
absurder,0.4463495575221239,-0.5574
absurdest,0.46736725663716816,-0.5574
absurdities,0.4198008849557522,-0.2732
absurdity,0.5436946902654868,-0.2732
abuse,0.3495575221238938,-0.6369
abused,0.3561946902654867,-0.5106
abuser,0.41814159292035397,-0.5574
abusers,0.4745575221238938,-0.5574
abuses,0.43086283185840707,-0.5574
abusing,0.372787610619469,-0.4588
abusive,0.4745575221238938,-0.6369
abusively,0.5331858407079646,-0.5859
abusiveness,0.4314159292035398,-0.5423
abysmally,0.5387168141592921,-0.5574
accede,0.0868362831858407,-0.296
acceded,0.08517699115044247,-0.296
acceding,0.07245575221238938,-0.296
accelerator,0.16924778761061948,-0.34
accelerators,0.16924778761061948,-0.34
accent,0.21128318584070796,-0.4215
accented,0.19358407079646017,-0.4215
accenting,0.14933628318584072,-0.4215
accents,0.2676991150442478,-0.4215
accentuate,0.3141592920353982,-0.4215
accentuated,0.3141592920353982,-0.4215
accentuates,0.3141592920353982,-0.4215
accentuating,0.3141592920353982,-0.4215
accept,0.23119469026548672,0.3818
acceptability,0.20464601769911506,0.2732
acceptable,0.20630530973451328,0.3182
acceptably,0.20630530973451328,0.3612
acceptance,0.2179203539823009,0.4588
acceptances,0.2179203539823009,0.4019
accepted,0.21349557522123894,0.2732
accepting,0.16924778761061948,0.3818
accepts,0.28761061946902655,0.3182
accident,0.14601769911504425,-0.4767
accidental,0.14601769911504425,-0.0772
accidentally,0.14601769911504425,-0.34
accidents,0.14601769911504425,-0.3182
acclaim,0.1288716814159292,0.0772
acclaimed,0.0868362831858407,0.0772
acclaims,0.1581858407079646,0.0772
accolade,0.15873893805309736,0.5423
accolades,0.15873893805309736,0.5423
accommodate,0.18915929203539822,0.3612
accommodated,0.18915929203539822,0.3612
accommodates,0.18915929203539822,0.3612
accommodating,0.18915929203539822,0.3612
accompaniment,0.1698008849557522,0.4019
accompaniments,0.1698008849557522,0.4019
accomplish,0.18196902654867256,0.4215
accomplished,0.18196902654867256,0.4404
accomplishes,0.18196902654867256,0.4019
accomplishing,0.18196902654867256,0.4215
accord,0.22234513274336284,0.4939
accorded,0.20464601769911506,0.4019
according,0.16039823008849557,0.4019
accords,0.27876106194690264,0.4939
accredit,0.21238938053097345,0.3818
accredited,0.18141592920353983,0.3818
accrediting,0.168141592920354,0.3818
accredits,0.21238938053097345,0.3818
accuracies,0.26991150442477874,0.3182
accuracy,0.4424778761061947,0.3182
accusal,0.33573008849557523,-0.25
accusals,0.36504424778761063,-0.25
accusation,0.3495575221238938,-0.25
accusations,0.3495575221238938,-0.3182
accusative,0.4153761061946903,-0.1779
accusatory,0.39103982300884954,-0.1779
accuse,0.3196902654867257,-0.2023
accused,0.3180309734513274,-0.296
accuses,0.37610619469026546,-0.34
accusing,0.3053097345132743,-0.1779
ace,0.05420353982300885,0.5994
acerbic,0.1902654867256637,-0.4215
acerbity,0.37168141592920356,-0.4019
aces,0.1786504424778761,0.5994
ache,0.07853982300884955,-0.3818
ached,0.09126106194690266,-0.3818
aches,0.18252212389380532,-0.25
achievable,0.19966814159292035,0.3182
achieve,0.21902654867256638,0.4215
achieved,0.206858407079646,0.4215
achiever,0.23783185840707965,0.5859
achievers,0.23783185840707965,0.5859
achieves,0.24834070796460178,0.4215
achieving,0.16261061946902655,0.4215
aching,0.13495575221238937,-0.4939
achings,0.1913716814159292,-0.3818
achy,0.2997787610619469,-0.4939
acid,0.084070796460177,-0.4215
acknowledge,0.29646017699115046,0.2023
acknowledged,0.29646017699115046,0.2023
acknowledges,0.29646017699115046,0.2023
acknowledging,0.29646017699115046,0.2023
acknowledgment,0.29646017699115046,0.3818
acknowledgments,0.29646017699115046,0.3818
acme,0.11449115044247787,0.2023
acquaintance,0.38329646017699115,0.4939
acquaintances,0.38329646017699115,0.4939
acquire,0.38329646017699115,0.1779
acquired,0.3711283185840708,0.1779
acquires,0.41261061946902655,0.1779
acquiring,0.3268805309734513,0.1779
acquit,0.4153761061946903,0.2023
acquited,0.39767699115044247,0.2023
acquites,0.4391592920353982,0.2023
acquits,0.4717920353982301,0.0258
acquitted,0.4424778761061947,0.25
acquitting,0.4225663716814159,0.3182
acrid,0.19966814159292035,-0.4215
acrimonious,0.2140486725663717,-0.4019
acrimony,0.3866150442477876,-0.4019
act,0.19524336283185842,0.0772
acted,0.22400442477876106,0.34
acting,0.2676991150442478,0.2023
